iter	Passed	Remaining
0	0	73
1	1	66
2	2	65
3	2	58
4	3	58
5	3	56
6	4	56
7	5	58
8	5	58
9	6	58
10	7	57
11	7	56
12	8	55
13	9	55
14	9	55
15	10	54
16	10	53
17	11	52
18	12	51
19	12	50
20	13	50
21	14	50
22	14	49
23	15	48
24	16	48
25	16	47
26	17	46
27	17	45
28	18	44
29	18	44
30	19	43
31	20	43
32	20	42
33	21	41
34	22	40
35	22	40
36	23	39
37	23	39
38	24	38
39	25	37
40	25	37
41	26	35
42	26	35
43	27	34
44	27	34
45	28	33
46	29	32
47	29	32
48	30	31
49	30	30
50	31	30
51	31	29
52	32	28
53	33	28
54	33	27
55	34	26
56	34	26
57	35	25
58	36	25
59	37	24
60	37	24
61	38	23
62	39	23
63	39	22
64	40	21
65	41	21
66	41	20
67	42	19
68	42	19
69	43	18
70	43	17
71	44	17
72	44	16
73	45	15
74	46	15
75	46	14
76	47	14
77	48	13
78	48	12
79	49	12
80	49	11
81	50	11
82	51	10
83	51	9
84	52	9
85	53	8
86	53	8
87	54	7
88	55	6
89	55	6
90	56	5
91	57	4
92	58	4
93	58	3
94	59	3
95	59	2
96	60	1
97	61	1
98	61	0
99	62	0
